"id";"building_id";"room_name";"room_capacity";"room_location";"facilities"
1;1;"Blue Room";14;"Lt.1 (pojok engineer)";"Table, chair, whiteboard, infocus"
2;1;"Besar (Orange)";16;"Lt.2 (samping Telesales)";"Table, chair, whiteboard, infocus"
3;1;"Library";16;"Lt.2 (samping orange)";"Table, chair, whiteboard, infocus, sofa, lots of books"
4;1;"Fun Room";12;"Lt.2 (depan ruang Library)";"Table, chair, whiteboard, infocus"
5;1;"Ice Pop";8;"Lt. 1 (Samping Receptionist)";"Table, chair, whiteboard, infocus"
6;1;"Super Burger";8;"Lt.1 (Samping Ice Pop)";"Table, chair, whiteboard, infocus"
7;1;"Ding Dong";6;"Lt.1 (Samping Super Burger)";"Table, chair, whiteboard, infocus"
8;1;"Silent Room";8;"Lt.1 ( Xbox / Rumput Sintetis)";"whiteboard, TV, PS4, Pillow"
9;2;"R.Meeting Biru";16;"Lantai 1";"Table, chair, whiteboard, infocus"
10;2;"R.Meeting Abu";12;"Lantai 1";"Table, chair, whiteboard, infocus"
11;2;"R.Meeting Cokelat";6;"Lantai 1";"Table, chair, whiteboard, infocus"
12;2;"R.Meeting Merah";6;"Lantai 1";"Table, chair, whiteboard, infocus"
13;2;"R.Meeting Merah Putih (Lesehan)";18;"Lantai 1";"Table, whiteboard, infocus, Pillow"
14;2;"Area Kolaborasi Red Circle";18;"Lantai 1";"Table, 2 TVs"
15;2;"Area Diskusi 1";4;"Lantai 1";"Table, Chair "
16;2;"Area Diskusi 2";4;"Lantai 1";"Table, Chair "
17;2;"Area Diskusi 3";4;"Lantai 1";"Table, Chair "
18;2;"Area Diskusi 4";4;"Lantai 2";"Table, Chair "
19;2;"Area Diskusi 5";4;"Lantai 2";"Table, Chair "
20;2;"Area Diskusi 6";4;"Lantai 2";"Table, Chair "
21;2;"Hall ";100;"Lantai 2";"Chair, Infocus, Speaker, Remote conference needs"
